,ligand,receptor,ligand.name,receptor.name,ligand.synonyms,receptor.synonyms,ligand.altern.names,receptor.altern.names,source,PMIDs,cells.L,cells.R,remarks,Pair.Name,DLRP,HPMR,IUPHAR,HPRD,STRING.binding,STRING.experiment,HPMR.Ligand,HPMR.Receptor,Pair.Evidence
868,CXCL11,ACKR3,C-X-C motif chemokine 11,Atypical chemokine receptor 3,"ITAC,SCYB11,SCYB9B","CMKOR1,CXCR7,GPR159,RDC1",Beta-R1 || H174 || Interferon gamma-inducible protein 9 || IP-9 || Interferon-inducible T-cell alpha chemoattractant || I-TAC || Small-inducible cytokine B11,C-X-C chemokine receptor type 7 || CXC-R7 || CXCR-7 || Chemokine orphan receptor 1 || G-protein coupled receptor 159 || G-protein coupled receptor RDC1 homolog || RDC-1,"IUPHAR,fantom5",,,,,CXCL11_ACKR3,,,,,,,,,
869,CXCL11,ADRA2A,C-X-C motif chemokine 11,Alpha-2A adrenergic receptor,"ITAC,SCYB11,SCYB9B","ADRA2R,ADRAR",Beta-R1 || H174 || Interferon gamma-inducible protein 9 || IP-9 || Interferon-inducible T-cell alpha chemoattractant || I-TAC || Small-inducible cytokine B11,Alpha-2 adrenergic receptor subtype C10 || Alpha-2A adrenoreceptor || Alpha-2A adrenoceptor || Alpha-2AAR,reactome,,,,,CXCL11_ADRA2A,,,,,,,,,
870,CXCL11,CCR3,C-X-C motif chemokine 11,C-C chemokine receptor type 3,"ITAC,SCYB11,SCYB9B",CMKBR3,Beta-R1 || H174 || Interferon gamma-inducible protein 9 || IP-9 || Interferon-inducible T-cell alpha chemoattractant || I-TAC || Small-inducible cytokine B11,C-C CKR-3 || CC-CKR-3 || CCR-3 || CCR3 || CKR3 || Eosinophil eotaxin receptor || CD antigen CD193,"IUPHAR,fantom5,HPRD",11110785,,,,CXCL11_CCR3,,,,,,,,,
871,CXCL11,CXCR3,C-X-C motif chemokine 11,C-X-C chemokine receptor type 3,"ITAC,SCYB11,SCYB9B",GPR9,Beta-R1 || H174 || Interferon gamma-inducible protein 9 || IP-9 || Interferon-inducible T-cell alpha chemoattractant || I-TAC || Small-inducible cytokine B11,CXC-R3 || CXCR-3 || CKR-L2 || G protein-coupled receptor 9 || Interferon-inducible protein 10 receptor || IP-10 receptor || CD antigen CD183,"fantom5,uniprot,IUPHAR,literature,HPMR,HPRD",10699158,,"T lymphocyte,B lymphocyte",,CXCL11_CXCR3,,,,,,,,,
872,CXCL11,GRM7,C-X-C motif chemokine 11,Metabotropic glutamate receptor 7,"ITAC,SCYB11,SCYB9B","GPRC1G,MGLUR7",Beta-R1 || H174 || Interferon gamma-inducible protein 9 || IP-9 || Interferon-inducible T-cell alpha chemoattractant || I-TAC || Small-inducible cytokine B11,mGluR7,reactome,,,,,CXCL11_GRM7,,,,,,,,,
873,CXCL11,MTNR1A,C-X-C motif chemokine 11,Melatonin receptor type 1A,"ITAC,SCYB11,SCYB9B",,Beta-R1 || H174 || Interferon gamma-inducible protein 9 || IP-9 || Interferon-inducible T-cell alpha chemoattractant || I-TAC || Small-inducible cytokine B11,Mel-1A-R || Mel1a receptor,reactome,,,,,CXCL11_MTNR1A,,,,,,,,,
874,CXCL12,ACKR3,Stromal cell-derived factor 1,Atypical chemokine receptor 3,"SDF1,SDF1A,SDF1B","CMKOR1,CXCR7,GPR159,RDC1",SDF-1 || hSDF-1 || C-X-C motif chemokine 12 || Intercrine reduced in hepatomas || IRH || hIRH || Pre-B cell growth-stimulating factor || PBSF) [Cleaved into: SDF-1-beta(3-72); SDF-1-alpha(3-67),C-X-C chemokine receptor type 7 || CXC-R7 || CXCR-7 || Chemokine orphan receptor 1 || G-protein coupled receptor 159 || G-protein coupled receptor RDC1 homolog || RDC-1,"fantom5,IUPHAR,HPMR","16107333,20956518,23396314",,,,CXCL12_ACKR3,,,,,,,,,
875,CXCL12,ADRA2A,Stromal cell-derived factor 1,Alpha-2A adrenergic receptor,"SDF1,SDF1A,SDF1B","ADRA2R,ADRAR",SDF-1 || hSDF-1 || C-X-C motif chemokine 12 || Intercrine reduced in hepatomas || IRH || hIRH || Pre-B cell growth-stimulating factor || PBSF) [Cleaved into: SDF-1-beta(3-72); SDF-1-alpha(3-67),Alpha-2 adrenergic receptor subtype C10 || Alpha-2A adrenoreceptor || Alpha-2A adrenoceptor || Alpha-2AAR,reactome,,,,,CXCL12_ADRA2A,,,,,,,,,
876,CXCL12,CCR4,Stromal cell-derived factor 1,C-C chemokine receptor type 4,"SDF1,SDF1A,SDF1B",CMKBR4,SDF-1 || hSDF-1 || C-X-C motif chemokine 12 || Intercrine reduced in hepatomas || IRH || hIRH || Pre-B cell growth-stimulating factor || PBSF) [Cleaved into: SDF-1-beta(3-72); SDF-1-alpha(3-67),C-C CKR-4 || CC-CKR-4 || CCR-4 || CCR4 || K5-5 || CD antigen CD194,fantom5,,,,,CXCL12_CCR4,,,,,,,,,
877,CXCL12,CD4,Stromal cell-derived factor 1,T-cell surface glycoprotein CD4,"SDF1,SDF1A,SDF1B",,SDF-1 || hSDF-1 || C-X-C motif chemokine 12 || Intercrine reduced in hepatomas || IRH || hIRH || Pre-B cell growth-stimulating factor || PBSF) [Cleaved into: SDF-1-beta(3-72); SDF-1-alpha(3-67),T-cell surface antigen T4/Leu-3 || CD antigen CD4,"HPRD,fantom5",10600606,,,,CXCL12_CD4,,,,,,,,,
878,CXCL12,CXCR3,Stromal cell-derived factor 1,C-X-C chemokine receptor type 3,"SDF1,SDF1A,SDF1B",GPR9,SDF-1 || hSDF-1 || C-X-C motif chemokine 12 || Intercrine reduced in hepatomas || IRH || hIRH || Pre-B cell growth-stimulating factor || PBSF) [Cleaved into: SDF-1-beta(3-72); SDF-1-alpha(3-67),CXC-R3 || CXCR-3 || CKR-L2 || G protein-coupled receptor 9 || Interferon-inducible protein 10 receptor || IP-10 receptor || CD antigen CD183,"HPMR,fantom5,IUPHAR",9660793,,,,CXCL12_CXCR3,,,,,,,,,
879,CXCL12,CXCR4,Stromal cell-derived factor 1,C-X-C chemokine receptor type 4,"SDF1,SDF1A,SDF1B",,SDF-1 || hSDF-1 || C-X-C motif chemokine 12 || Intercrine reduced in hepatomas || IRH || hIRH || Pre-B cell growth-stimulating factor || PBSF) [Cleaved into: SDF-1-beta(3-72); SDF-1-alpha(3-67),CXC-R4 || CXCR-4 || FB22 || Fusin || HM89 || LCR1 || Leukocyte-derived seven transmembrane domain receptor || LESTR || Lipopolysaccharide-associated protein 3 || LAP-3 || LPS-associated protein 3 || NPYRL || Stromal cell-derived factor 1 receptor || SDF-1 receptor || CD antigen CD184,"HPRD,HPMR,fantom5,IUPHAR,literature",10699158,,"macrophage,immature DC,thymocyte,platelet,mature DC,CD34+ cells,neutrophil",,CXCL12_CXCR4,,,,,,,,,
880,CXCL12,GRM7,Stromal cell-derived factor 1,Metabotropic glutamate receptor 7,"SDF1,SDF1A,SDF1B","GPRC1G,MGLUR7",SDF-1 || hSDF-1 || C-X-C motif chemokine 12 || Intercrine reduced in hepatomas || IRH || hIRH || Pre-B cell growth-stimulating factor || PBSF) [Cleaved into: SDF-1-beta(3-72); SDF-1-alpha(3-67),mGluR7,reactome,,,,,CXCL12_GRM7,,,,,,,,,
882,CXCL12,MTNR1A,Stromal cell-derived factor 1,Melatonin receptor type 1A,"SDF1,SDF1A,SDF1B",,SDF-1 || hSDF-1 || C-X-C motif chemokine 12 || Intercrine reduced in hepatomas || IRH || hIRH || Pre-B cell growth-stimulating factor || PBSF) [Cleaved into: SDF-1-beta(3-72); SDF-1-alpha(3-67),Mel-1A-R || Mel1a receptor,reactome,,,,,CXCL12_MTNR1A,,,,,,,,,
883,CXCL12,SDC4,Stromal cell-derived factor 1,Syndecan-4,"SDF1,SDF1A,SDF1B",,SDF-1 || hSDF-1 || C-X-C motif chemokine 12 || Intercrine reduced in hepatomas || IRH || hIRH || Pre-B cell growth-stimulating factor || PBSF) [Cleaved into: SDF-1-beta(3-72); SDF-1-alpha(3-67),SYND4 || Amphiglycan || Ryudocan core protein,fantom5,,,,,CXCL12_SDC4,,,,,,,,,
884,CXCL13,ACKR4,C-X-C motif chemokine 13,Atypical chemokine receptor 4,"BCA1,BLC,SCYB13","CCBP2,CCR11,CCRL1,VSHK1",Angie || B cell-attracting chemokine 1 || BCA-1 || B lymphocyte chemoattractant || CXC chemokine BLC || Small-inducible cytokine B13,C-C chemokine receptor type 11 || C-C CKR-11 || CC-CKR-11 || CCR-11 || CC chemokine receptor-like 1 || CCRL1 || CCX CKR,"HPRD,fantom5",10706668,,,,CXCL13_ACKR4,,,,,,,,,
885,CXCL13,ADRA2A,C-X-C motif chemokine 13,Alpha-2A adrenergic receptor,"BCA1,BLC,SCYB13","ADRA2R,ADRAR",Angie || B cell-attracting chemokine 1 || BCA-1 || B lymphocyte chemoattractant || CXC chemokine BLC || Small-inducible cytokine B13,Alpha-2 adrenergic receptor subtype C10 || Alpha-2A adrenoreceptor || Alpha-2A adrenoceptor || Alpha-2AAR,reactome,,,,,CXCL13_ADRA2A,,,,,,,,,
886,CXCL13,CCR10,C-X-C motif chemokine 13,C-C chemokine receptor type 10,"BCA1,BLC,SCYB13",GPR2,Angie || B cell-attracting chemokine 1 || BCA-1 || B lymphocyte chemoattractant || CXC chemokine BLC || Small-inducible cytokine B13,C-C CKR-10 || CC-CKR-10 || CCR-10 || G-protein coupled receptor 2,"fantom5,HPRD",10706668,,,,CXCL13_CCR10,,,,,,,,,
887,CXCL13,CXCR3,C-X-C motif chemokine 13,C-X-C chemokine receptor type 3,"BCA1,BLC,SCYB13",GPR9,Angie || B cell-attracting chemokine 1 || BCA-1 || B lymphocyte chemoattractant || CXC chemokine BLC || Small-inducible cytokine B13,CXC-R3 || CXCR-3 || CKR-L2 || G protein-coupled receptor 9 || Interferon-inducible protein 10 receptor || IP-10 receptor || CD antigen CD183,"HPRD,fantom5",11554781,,,,CXCL13_CXCR3,,,,,,,,,
888,CXCL13,CXCR5,C-X-C motif chemokine 13,C-X-C chemokine receptor type 5,"BCA1,BLC,SCYB13","BLR1,MDR15",Angie || B cell-attracting chemokine 1 || BCA-1 || B lymphocyte chemoattractant || CXC chemokine BLC || Small-inducible cytokine B13,CXC-R5 || CXCR-5 || Burkitt lymphoma receptor 1 || Monocyte-derived receptor 15 || MDR-15 || CD antigen CD185,"HPMR,IUPHAR,literature,fantom5,HPRD",10699158,,"B lymphocyte,T lymphocyte",,CXCL13_CXCR5,,,,,,,,,
889,CXCL13,GRM7,C-X-C motif chemokine 13,Metabotropic glutamate receptor 7,"BCA1,BLC,SCYB13","GPRC1G,MGLUR7",Angie || B cell-attracting chemokine 1 || BCA-1 || B lymphocyte chemoattractant || CXC chemokine BLC || Small-inducible cytokine B13,mGluR7,reactome,,,,,CXCL13_GRM7,,,,,,,,,
890,CXCL13,HTR2A,C-X-C motif chemokine 13,5-hydroxytryptamine receptor 2A,"BCA1,BLC,SCYB13",HTR2,Angie || B cell-attracting chemokine 1 || BCA-1 || B lymphocyte chemoattractant || CXC chemokine BLC || Small-inducible cytokine B13,5-HT-2 || 5-HT-2A || Serotonin receptor 2A,fantom5,,,,,CXCL13_HTR2A,,,,,,,,,
891,CXCL13,MTNR1A,C-X-C motif chemokine 13,Melatonin receptor type 1A,"BCA1,BLC,SCYB13",,Angie || B cell-attracting chemokine 1 || BCA-1 || B lymphocyte chemoattractant || CXC chemokine BLC || Small-inducible cytokine B13,Mel-1A-R || Mel1a receptor,reactome,,,,,CXCL13_MTNR1A,,,,,,,,,
893,CXCL16,ADRA2A,C-X-C motif chemokine 16,Alpha-2A adrenergic receptor,"SCYB16,SRPSOX,UNQ2759/PRO6714","ADRA2R,ADRAR",Scavenger receptor for phosphatidylserine and oxidized low density lipoprotein || SR-PSOX || Small-inducible cytokine B16 || Transmembrane chemokine CXCL16,Alpha-2 adrenergic receptor subtype C10 || Alpha-2A adrenoreceptor || Alpha-2A adrenoceptor || Alpha-2AAR,reactome,,,,,CXCL16_ADRA2A,,,,,,,,,
895,CXCL16,GRM7,C-X-C motif chemokine 16,Metabotropic glutamate receptor 7,"SCYB16,SRPSOX,UNQ2759/PRO6714","GPRC1G,MGLUR7",Scavenger receptor for phosphatidylserine and oxidized low density lipoprotein || SR-PSOX || Small-inducible cytokine B16 || Transmembrane chemokine CXCL16,mGluR7,reactome,,,,,CXCL16_GRM7,,,,,,,,,
896,CXCL16,MTNR1A,C-X-C motif chemokine 16,Melatonin receptor type 1A,"SCYB16,SRPSOX,UNQ2759/PRO6714",,Scavenger receptor for phosphatidylserine and oxidized low density lipoprotein || SR-PSOX || Small-inducible cytokine B16 || Transmembrane chemokine CXCL16,Mel-1A-R || Mel1a receptor,reactome,,,,,CXCL16_MTNR1A,,,,,,,,,
897,CXCL1,ACKR1,Growth-regulated alpha protein,Atypical chemokine receptor 1,"GRO,GRO1,GROA,MGSA,SCYB1","DARC,FY,GPD",C-X-C motif chemokine 1 || GRO-alpha(1-73) || Melanoma growth stimulatory activity || MGSA || Neutrophil-activating protein 3 || NAP-3) [Cleaved into: GRO-alpha(4-73); GRO-alpha(5-73); GRO-alpha(6-73),Duffy antigen/chemokine receptor || Fy glycoprotein || GpFy || Glycoprotein D || Plasmodium vivax receptor || CD antigen CD234,literature,10699158,,red blood cell,,CXCL1_ACKR1,,,,,,,,,
898,CXCL1,ADRA2A,Growth-regulated alpha protein,Alpha-2A adrenergic receptor,"GRO,GRO1,GROA,MGSA,SCYB1","ADRA2R,ADRAR",C-X-C motif chemokine 1 || GRO-alpha(1-73) || Melanoma growth stimulatory activity || MGSA || Neutrophil-activating protein 3 || NAP-3) [Cleaved into: GRO-alpha(4-73); GRO-alpha(5-73); GRO-alpha(6-73),Alpha-2 adrenergic receptor subtype C10 || Alpha-2A adrenoreceptor || Alpha-2A adrenoceptor || Alpha-2AAR,reactome,,,,,CXCL1_ADRA2A,,,,,,,,,
899,CXCL1,CXCR1,Growth-regulated alpha protein,C-X-C chemokine receptor type 1,"GRO,GRO1,GROA,MGSA,SCYB1","CMKAR1,IL8RA",C-X-C motif chemokine 1 || GRO-alpha(1-73) || Melanoma growth stimulatory activity || MGSA || Neutrophil-activating protein 3 || NAP-3) [Cleaved into: GRO-alpha(4-73); GRO-alpha(5-73); GRO-alpha(6-73),CXC-R1 || CXCR-1 || CDw128a || High affinity interleukin-8 receptor A || IL-8R A || IL-8 receptor type 1 || CD antigen CD181,"HPMR,IUPHAR,uniprot,literature,fantom5,HPRD",10699158,,"macrophage,neutrophil",,CXCL1_CXCR1,,,,,,,,,
900,CXCL1,CXCR2,Growth-regulated alpha protein,C-X-C chemokine receptor type 2,"GRO,GRO1,GROA,MGSA,SCYB1",IL8RB,C-X-C motif chemokine 1 || GRO-alpha(1-73) || Melanoma growth stimulatory activity || MGSA || Neutrophil-activating protein 3 || NAP-3) [Cleaved into: GRO-alpha(4-73); GRO-alpha(5-73); GRO-alpha(6-73),CXC-R2 || CXCR-2 || CDw128b || GRO/MGSA receptor || High affinity interleukin-8 receptor B || IL-8R B || IL-8 receptor type 2 || CD antigen CD182,"literature,IUPHAR,fantom5,HPRD",10699158,,"neutrophil,macrophage,eosinophil",,CXCL1_CXCR2,,,,,,,,,
901,CXCL1,ACKR1,Growth-regulated alpha protein,Duffy antigen chemokine receptor,"GRO,GRO1,GROA,MGSA,SCYB1",,C-X-C motif chemokine 1 || GRO-alpha(1-73) || Melanoma growth stimulatory activity || MGSA || Neutrophil-activating protein 3 || NAP-3) [Cleaved into: GRO-alpha(4-73); GRO-alpha(5-73); GRO-alpha(6-73),Fragment,"fantom5,HPMR,HPRD","12734373,76",,,,CXCL1_ACKR1,,,,,,,,,
903,CXCL1,MTNR1A,Growth-regulated alpha protein,Melatonin receptor type 1A,"GRO,GRO1,GROA,MGSA,SCYB1",,C-X-C motif chemokine 1 || GRO-alpha(1-73) || Melanoma growth stimulatory activity || MGSA || Neutrophil-activating protein 3 || NAP-3) [Cleaved into: GRO-alpha(4-73); GRO-alpha(5-73); GRO-alpha(6-73),Mel-1A-R || Mel1a receptor,reactome,,,,,CXCL1_MTNR1A,,,,,,,,,
904,CXCL2,ADRA2A,C-X-C motif chemokine 2,Alpha-2A adrenergic receptor,"GRO2,GROB,MIP2A,SCYB2","ADRA2R,ADRAR",Growth-regulated protein beta || Gro-beta || Macrophage inflammatory protein 2-alpha || MIP2-alpha) [Cleaved into: GRO-beta(5-73 || GRO-beta-T || Hematopoietic synergistic factor || HSF || SB-251353),Alpha-2 adrenergic receptor subtype C10 || Alpha-2A adrenoreceptor || Alpha-2A adrenoceptor || Alpha-2AAR,reactome,,,,,CXCL2_ADRA2A,,,,,,,,,
905,CXCL2,CXCR1,C-X-C motif chemokine 2,C-X-C chemokine receptor type 1,"GRO2,GROB,MIP2A,SCYB2","CMKAR1,IL8RA",Growth-regulated protein beta || Gro-beta || Macrophage inflammatory protein 2-alpha || MIP2-alpha) [Cleaved into: GRO-beta(5-73 || GRO-beta-T || Hematopoietic synergistic factor || HSF || SB-251353),CXC-R1 || CXCR-1 || CDw128a || High affinity interleukin-8 receptor A || IL-8R A || IL-8 receptor type 1 || CD antigen CD181,"HPRD,fantom5,HPMR","12964882,93",,,,CXCL2_CXCR1,,,,,,,,,
906,CXCL2,CXCR2,C-X-C motif chemokine 2,C-X-C chemokine receptor type 2,"GRO2,GROB,MIP2A,SCYB2",IL8RB,Growth-regulated protein beta || Gro-beta || Macrophage inflammatory protein 2-alpha || MIP2-alpha) [Cleaved into: GRO-beta(5-73 || GRO-beta-T || Hematopoietic synergistic factor || HSF || SB-251353),CXC-R2 || CXCR-2 || CDw128b || GRO/MGSA receptor || High affinity interleukin-8 receptor B || IL-8R B || IL-8 receptor type 2 || CD antigen CD182,"HPRD,fantom5,IUPHAR,literature",10699158,,"neutrophil,macrophage,eosinophil",,CXCL2_CXCR2,,,,,,,,,
907,CXCL2,GRM7,C-X-C motif chemokine 2,Metabotropic glutamate receptor 7,"GRO2,GROB,MIP2A,SCYB2","GPRC1G,MGLUR7",Growth-regulated protein beta || Gro-beta || Macrophage inflammatory protein 2-alpha || MIP2-alpha) [Cleaved into: GRO-beta(5-73 || GRO-beta-T || Hematopoietic synergistic factor || HSF || SB-251353),mGluR7,reactome,,,,,CXCL2_GRM7,,,,,,,,,
908,CXCL2,MTNR1A,C-X-C motif chemokine 2,Melatonin receptor type 1A,"GRO2,GROB,MIP2A,SCYB2",,Growth-regulated protein beta || Gro-beta || Macrophage inflammatory protein 2-alpha || MIP2-alpha) [Cleaved into: GRO-beta(5-73 || GRO-beta-T || Hematopoietic synergistic factor || HSF || SB-251353),Mel-1A-R || Mel1a receptor,reactome,,,,,CXCL2_MTNR1A,,,,,,,,,
910,CXCL3,ADRA2A,C-X-C motif chemokine 3,Alpha-2A adrenergic receptor,"GRO3,GROG,SCYB3","ADRA2R,ADRAR",GRO-gamma(1-73) || Growth-regulated protein gamma || GRO-gamma || Macrophage inflammatory protein 2-beta || MIP2-beta) [Cleaved into: GRO-gamma(5-73),Alpha-2 adrenergic receptor subtype C10 || Alpha-2A adrenoreceptor || Alpha-2A adrenoceptor || Alpha-2AAR,reactome,,,,,CXCL3_ADRA2A,,,,,,,,,
911,CXCL3,CXCR1,C-X-C motif chemokine 3,C-X-C chemokine receptor type 1,"GRO3,GROG,SCYB3","CMKAR1,IL8RA",GRO-gamma(1-73) || Growth-regulated protein gamma || GRO-gamma || Macrophage inflammatory protein 2-beta || MIP2-beta) [Cleaved into: GRO-gamma(5-73),CXC-R1 || CXCR-1 || CDw128a || High affinity interleukin-8 receptor A || IL-8R A || IL-8 receptor type 1 || CD antigen CD181,"HPRD,fantom5,HPMR","12964882,87",,,,CXCL3_CXCR1,,,,,,,,,
912,CXCL3,CXCR2,C-X-C motif chemokine 3,C-X-C chemokine receptor type 2,"GRO3,GROG,SCYB3",IL8RB,GRO-gamma(1-73) || Growth-regulated protein gamma || GRO-gamma || Macrophage inflammatory protein 2-beta || MIP2-beta) [Cleaved into: GRO-gamma(5-73),CXC-R2 || CXCR-2 || CDw128b || GRO/MGSA receptor || High affinity interleukin-8 receptor B || IL-8R B || IL-8 receptor type 2 || CD antigen CD182,"HPRD,fantom5,IUPHAR,literature",10699158,,"macrophage,eosinophil,neutrophil",,CXCL3_CXCR2,,,,,,,,,
913,CXCL3,GRM7,C-X-C motif chemokine 3,Metabotropic glutamate receptor 7,"GRO3,GROG,SCYB3","GPRC1G,MGLUR7",GRO-gamma(1-73) || Growth-regulated protein gamma || GRO-gamma || Macrophage inflammatory protein 2-beta || MIP2-beta) [Cleaved into: GRO-gamma(5-73),mGluR7,reactome,,,,,CXCL3_GRM7,,,,,,,,,
914,CXCL3,MTNR1A,C-X-C motif chemokine 3,Melatonin receptor type 1A,"GRO3,GROG,SCYB3",,GRO-gamma(1-73) || Growth-regulated protein gamma || GRO-gamma || Macrophage inflammatory protein 2-beta || MIP2-beta) [Cleaved into: GRO-gamma(5-73),Mel-1A-R || Mel1a receptor,reactome,,,,,CXCL3_MTNR1A,,,,,,,,,
915,CXCL5,ACKR1,C-X-C motif chemokine 5,Atypical chemokine receptor 1,"ENA78,SCYB5","DARC,FY,GPD",ENA-78(1-78) || Epithelial-derived neutrophil-activating protein 78 || Neutrophil-activating peptide ENA-78 || Small-inducible cytokine B5) [Cleaved into: ENA-78(8-78); ENA-78(9-78),Duffy antigen/chemokine receptor || Fy glycoprotein || GpFy || Glycoprotein D || Plasmodium vivax receptor || CD antigen CD234,literature,10699158,,red blood cell,,CXCL5_ACKR1,,,,,,,,,
916,CXCL5,ADRA2A,C-X-C motif chemokine 5,Alpha-2A adrenergic receptor,"ENA78,SCYB5","ADRA2R,ADRAR",ENA-78(1-78) || Epithelial-derived neutrophil-activating protein 78 || Neutrophil-activating peptide ENA-78 || Small-inducible cytokine B5) [Cleaved into: ENA-78(8-78); ENA-78(9-78),Alpha-2 adrenergic receptor subtype C10 || Alpha-2A adrenoreceptor || Alpha-2A adrenoceptor || Alpha-2AAR,reactome,,,,,CXCL5_ADRA2A,,,,,,,,,
917,CXCL5,CXCR1,C-X-C motif chemokine 5,C-X-C chemokine receptor type 1,"ENA78,SCYB5","CMKAR1,IL8RA",ENA-78(1-78) || Epithelial-derived neutrophil-activating protein 78 || Neutrophil-activating peptide ENA-78 || Small-inducible cytokine B5) [Cleaved into: ENA-78(8-78); ENA-78(9-78),CXC-R1 || CXCR-1 || CDw128a || High affinity interleukin-8 receptor A || IL-8R A || IL-8 receptor type 1 || CD antigen CD181,"HPMR,fantom5,literature,uniprot,HPRD",10699158,,"macrophage,neutrophil",,CXCL5_CXCR1,,,,,,,,,
919,CXCL5,ACKR1,C-X-C motif chemokine 5,Duffy antigen chemokine receptor,"ENA78,SCYB5",,ENA-78(1-78) || Epithelial-derived neutrophil-activating protein 78 || Neutrophil-activating peptide ENA-78 || Small-inducible cytokine B5) [Cleaved into: ENA-78(8-78); ENA-78(9-78),Fragment,"HPRD,fantom5",13679391,,,,CXCL5_ACKR1,,,,,,,,,
920,CXCL5,GRM7,C-X-C motif chemokine 5,Metabotropic glutamate receptor 7,"ENA78,SCYB5","GPRC1G,MGLUR7",ENA-78(1-78) || Epithelial-derived neutrophil-activating protein 78 || Neutrophil-activating peptide ENA-78 || Small-inducible cytokine B5) [Cleaved into: ENA-78(8-78); ENA-78(9-78),mGluR7,reactome,,,,,CXCL5_GRM7,,,,,,,,,
921,CXCL5,MTNR1A,C-X-C motif chemokine 5,Melatonin receptor type 1A,"ENA78,SCYB5",,ENA-78(1-78) || Epithelial-derived neutrophil-activating protein 78 || Neutrophil-activating peptide ENA-78 || Small-inducible cytokine B5) [Cleaved into: ENA-78(8-78); ENA-78(9-78),Mel-1A-R || Mel1a receptor,reactome,,,,,CXCL5_MTNR1A,,,,,,,,,
922,CXCL6,ACKR1,C-X-C motif chemokine 6,Atypical chemokine receptor 1,"GCP2,SCYB6","DARC,FY,GPD","Chemokine alpha 3 || CKA-3 || Granulocyte chemotactic protein 2 || GCP-2 || Small-inducible cytokine B6) [Cleaved into: Small-inducible cytokine B6, N-processed variant 1; Small-inducible cytokine B6, N-processed variant 2; Small-inducible cytokine B6, N-processed variant 3",Duffy antigen/chemokine receptor || Fy glycoprotein || GpFy || Glycoprotein D || Plasmodium vivax receptor || CD antigen CD234,literature,10699158,,red blood cell,,CXCL6_ACKR1,,,,,,,,,
923,CXCL6,ADRA2A,C-X-C motif chemokine 6,Alpha-2A adrenergic receptor,"GCP2,SCYB6","ADRA2R,ADRAR","Chemokine alpha 3 || CKA-3 || Granulocyte chemotactic protein 2 || GCP-2 || Small-inducible cytokine B6) [Cleaved into: Small-inducible cytokine B6, N-processed variant 1; Small-inducible cytokine B6, N-processed variant 2; Small-inducible cytokine B6, N-processed variant 3",Alpha-2 adrenergic receptor subtype C10 || Alpha-2A adrenoreceptor || Alpha-2A adrenoceptor || Alpha-2AAR,reactome,,,,,CXCL6_ADRA2A,,,,,,,,,
926,CXCL6,GRM7,C-X-C motif chemokine 6,Metabotropic glutamate receptor 7,"GCP2,SCYB6","GPRC1G,MGLUR7","Chemokine alpha 3 || CKA-3 || Granulocyte chemotactic protein 2 || GCP-2 || Small-inducible cytokine B6) [Cleaved into: Small-inducible cytokine B6, N-processed variant 1; Small-inducible cytokine B6, N-processed variant 2; Small-inducible cytokine B6, N-processed variant 3",mGluR7,reactome,,,,,CXCL6_GRM7,,,,,,,,,
927,CXCL6,MTNR1A,C-X-C motif chemokine 6,Melatonin receptor type 1A,"GCP2,SCYB6",,"Chemokine alpha 3 || CKA-3 || Granulocyte chemotactic protein 2 || GCP-2 || Small-inducible cytokine B6) [Cleaved into: Small-inducible cytokine B6, N-processed variant 1; Small-inducible cytokine B6, N-processed variant 2; Small-inducible cytokine B6, N-processed variant 3",Mel-1A-R || Mel1a receptor,reactome,,,,,CXCL6_MTNR1A,,,,,,,,,
928,CXCL8,ACKR1,Interleukin-8,Atypical chemokine receptor 1,IL8,"DARC,FY,GPD",IL-8 || C-X-C motif chemokine 8 || Chemokin || C-X-C motif) ligand 8 || Emoctakin || Granulocyte chemotactic protein 1 || GCP-1 || Monocyte-derived neutrophil chemotactic factor || MDNCF || Monocyte-derived neutrophil-activating peptide || MONAP || Neutrophil-activating protein 1 || NAP-1 || Protein 3-10C || T-cell chemotactic factor) [Cleaved into: MDNCF- || GCP/IL-8 protein IV || IL8/NAP1 form I); Interleukin- || (Ala-IL-8)77 || GCP/IL-8 protein II || IL-8(1-77) || IL8/NAP1 form II || MDNCF-b); IL-8(5-77); IL-8(6-77 || (Ser-IL-8)72 || GCP/IL-8 protein I || IL8/NAP1 form III || Lymphocyte-derived neutrophil-activating factor || LYNAP || MDNCF-c || Neutrophil-activating factor || NAF); IL-8(7-77 || GCP/IL-8 protein V || IL8/NAP1 form IV); IL-8(8-77 || GCP/IL-8 protein VI || IL8/NAP1 form V); IL-8(9-77 || GCP/IL-8 protein III || IL8/NAP1 form VI),Duffy antigen/chemokine receptor || Fy glycoprotein || GpFy || Glycoprotein D || Plasmodium vivax receptor || CD antigen CD234,literature,10699158,,red blood cell,,CXCL8_ACKR1,,,,,,,,,
